id,name,sort,created,updated
1,農業，林業,100,"2015-10-23 11:07:10","2015-10-23 11:07:10"
2,漁業,200,"2015-10-23 11:07:10","2015-10-23 11:07:10"
3,鉱業，採石業，砂利採取業,300,"2015-10-23 11:07:10","2015-10-23 11:07:10"
4,建設業,400,"2015-10-23 11:07:10","2015-10-23 11:07:10"
5,製造業,500,"2015-10-23 11:07:10","2015-10-23 11:07:10"
6,電気・ガス・熱供給・水道業,600,"2015-10-23 11:07:10","2015-10-23 11:07:10"
7,情報通信業,700,"2015-10-23 11:07:10","2015-10-23 11:07:10"
8,運輸業，郵便業,800,"2015-10-23 11:07:10","2015-10-23 11:07:10"
9,卸売業，小売業,900,"2015-10-23 11:07:10","2015-10-23 11:07:10"
10,金融業，保険業,1000,"2015-10-23 11:07:10","2015-10-23 11:07:10"
11,不動産業，物品賃貸業,1100,"2015-10-23 11:07:10","2015-10-23 11:07:10"
12,学術研究，専門・技術サービス業,1200,"2015-10-23 11:07:10","2015-10-23 11:07:10"
13,宿泊業，飲食サービス業,1300,"2015-10-23 11:07:10","2015-10-23 11:07:10"
14,生活関連サービス業，娯楽業,1400,"2015-10-23 11:07:10","2015-10-23 11:07:10"
15,教育，学習支援業,1500,"2015-10-23 11:07:10","2015-10-23 11:07:10"
16,医療，福祉,1600,"2015-10-23 11:07:10","2015-10-23 11:07:10"
17,複合サービス事業,1700,"2015-10-23 11:07:10","2015-10-23 11:07:10"
18,サービス業（他に分類されないもの）,1800,"2015-10-23 11:07:10","2015-10-23 11:07:10"
19,分類不能の産業,1900,"2015-10-23 11:07:10","2015-10-23 11:07:10"
